"","filename","exit_status","sys_time"
"491","add_alignments_11995765.log","OK",6
"492","add_alignments_11995766.log","OK",9
"493","add_alignments_11995767.log","OK",9
"494","add_alignments_11995768.log","OK",11
"495","add_alignments_11995769.log","OK",5
"496","add_alignments_11995770.log","OK",8
"497","add_alignments_11995771.log","OK",9
"498","add_alignments_11995772.log","OK",8
"499","add_alignments_11995773.log","OK",4
"500","add_alignments_11995774.log","OK",7
"501","add_alignments_11995775.log","OK",28
"502","add_alignments_11995776.log","OK",35
"503","add_alignments_11995777.log","OK",14
"504","add_alignments_11995778.log","OK",78
"505","add_alignments_11995779.log","OK",34
"506","add_alignments_11995780.log","OK",8
"507","add_alignments_11995781.log","OK",27
"508","add_alignments_11995782.log","OK",18
"509","add_alignments_11995783.log","OK",43
"510","add_alignments_11995784.log","OK",29
"511","add_alignments_11995785.log","OK",124
"512","add_alignments_11995786.log","OK",20
"513","add_alignments_11995787.log","OK",28
"514","add_alignments_11995788.log","OK",70
"515","add_alignments_11995789.log","OK",76
"516","add_alignments_11995790.log","OK",198
"517","add_alignments_11995791.log","OK",150
"518","add_alignments_11995792.log","OK",97
"519","add_alignments_11995793.log","OK",28
"520","add_alignments_11995794.log","OK",42
"521","add_alignments_11995795.log","OK",2
"522","add_alignments_11995796.log","OK",2
"523","add_alignments_11995797.log","OK",4
"524","add_alignments_11995798.log","OK",5
"525","add_alignments_11995799.log","OK",5
"526","add_alignments_11995800.log","OK",3
"527","add_alignments_11995801.log","OK",7
"528","add_alignments_11995802.log","OK",4
"529","add_alignments_11995803.log","OK",6
"530","add_alignments_11995804.log","OK",6
"531","add_alignments_11995805.log","OK",5
"532","add_alignments_11995806.log","OK",3
"533","add_alignments_11995807.log","OK",5
"534","add_alignments_11995808.log","OK",6
"535","add_alignments_11995809.log","OK",3
"536","add_alignments_11995810.log","OK",3
"537","add_alignments_11995811.log","OK",4
"538","add_alignments_11995812.log","OK",4
"539","add_alignments_11995813.log","OK",2
"540","add_alignments_11995814.log","OK",3
"541","add_alignments_11995815.log","OK",28
"542","add_alignments_11995816.log","OK",11
"543","add_alignments_11995817.log","OK",32
"544","add_alignments_11995818.log","OK",9
"545","add_alignments_11995819.log","OK",9
"546","add_alignments_11995820.log","OK",25
"547","add_alignments_11995821.log","OK",15
"548","add_alignments_11995822.log","OK",8
"549","add_alignments_11995823.log","OK",31
"550","add_alignments_11995824.log","OK",41
"551","add_alignments_11995825.log","OK",10
"552","add_alignments_11995826.log","OK",24
"553","add_alignments_11995827.log","OK",38
"554","add_alignments_11995828.log","OK",30
"555","add_alignments_11995829.log","OK",20
"556","add_alignments_11995830.log","OK",41
"557","add_alignments_11995831.log","OK",16
"558","add_alignments_11995832.log","OK",11
