"","filename","operator","p","accept","reject","acceptFC","rejectFC","rejectIv","rejectOp"
"96","article_0_0_0_0_0_101_1_2_1.xml.state","wide.t",NA,57,38159,46,37031,19231,19231
"97","article_0_0_0_0_0_101_1_2_1.xml.state","WilsonBalding.t",NA,115,38197,84,37098,2477,2477
"98","article_0_0_0_0_0_101_1_2_1.xml.state","BirthRateScaler.t",0.485740995072251,10483,28143,9840,27691,0,0
"99","article_0_0_0_0_0_101_1_2_1.xml.state","DeathRateScaler.t",0.17691562361418,13008,25444,12086,25247,709,709
"100","article_0_0_0_0_0_101_1_2_2.xml.state","treeScaler.t",0.831957712675486,4201,34204,4162,33115,0,0
"101","article_0_0_0_0_0_101_1_2_2.xml.state","treeRootScaler.t",0.762056444405783,3862,34664,3799,33623,14011,14011
"102","article_0_0_0_0_0_101_1_2_2.xml.state","UniformOperator.t",NA,89115,296621,86046,288620,0,0
"103","article_0_0_0_0_0_101_1_2_2.xml.state","SubtreeSlide.t",0.216439221653318,2595,188931,2550,183427,84818,84818
"104","article_0_0_0_0_0_101_1_2_2.xml.state","narrow.t",NA,21957,170115,21060,165594,0,0
"105","article_0_0_0_0_0_101_1_2_2.xml.state","wide.t",NA,76,38388,61,37314,19408,19408
"106","article_0_0_0_0_0_101_1_2_2.xml.state","WilsonBalding.t",NA,93,38340,65,37326,2520,2520
"107","article_0_0_0_0_0_101_1_2_2.xml.state","BirthRateScaler.t",0.49746943880666,10889,27518,10246,27072,0,0
"108","article_0_0_0_0_0_101_1_2_2.xml.state","DeathRateScaler.t",0.189722195066164,13542,24890,12631,24670,471,471
"109","article_0_0_0_0_0_101_2_1_1.xml.state","treeScaler.t",0.79074254751845,3268,35107,3221,34044,0,0
"110","article_0_0_0_0_0_101_2_1_1.xml.state","treeRootScaler.t",0.774346978914849,2867,35251,2820,34173,14690,14690
"111","article_0_0_0_0_0_101_2_1_1.xml.state","UniformOperator.t",NA,88060,297190,85018,289519,0,0
"112","article_0_0_0_0_0_101_2_1_1.xml.state","SubtreeSlide.t",0.147405170575189,3799,188107,3754,182628,80062,80062
"113","article_0_0_0_0_0_101_2_1_1.xml.state","narrow.t",NA,20580,171775,19646,167241,0,0
"114","article_0_0_0_0_0_101_2_1_1.xml.state","wide.t",NA,65,38373,47,37301,19315,19315
"115","article_0_0_0_0_0_101_2_1_1.xml.state","WilsonBalding.t",NA,91,38706,51,37619,2533,2533
"116","article_0_0_0_0_0_101_2_1_1.xml.state","BirthRateScaler.t",0.503906548033594,10977,27561,10343,27103,0,0
"117","article_0_0_0_0_0_101_2_1_1.xml.state","DeathRateScaler.t",0.174064955825891,12213,26011,11366,25706,698,698
"118","article_0_0_0_0_0_101_2_1_2.xml.state","treeScaler.t",0.836207766877527,4457,33899,4425,32879,0,0
"119","article_0_0_0_0_0_101_2_1_2.xml.state","treeRootScaler.t",0.763438320850574,2730,35522,2688,34466,14657,14657
"120","article_0_0_0_0_0_101_2_1_2.xml.state","UniformOperator.t",NA,88155,296365,85014,288144,0,0
"121","article_0_0_0_0_0_101_2_1_2.xml.state","SubtreeSlide.t",0.14080336396642,3930,188496,3889,182944,79914,79914
"122","article_0_0_0_0_0_101_2_1_2.xml.state","narrow.t",NA,20548,171860,19568,167358,0,0
"123","article_0_0_0_0_0_101_2_1_2.xml.state","wide.t",NA,46,38548,26,37458,19372,19372
"124","article_0_0_0_0_0_101_2_1_2.xml.state","WilsonBalding.t",NA,79,38375,43,37310,2583,2583
"125","article_0_0_0_0_0_101_2_1_2.xml.state","BirthRateScaler.t",0.512601800672456,11443,27177,10741,26728,0,0
"126","article_0_0_0_0_0_101_2_1_2.xml.state","DeathRateScaler.t",0.177868927216818,12946,25425,12050,25213,646,646
"127","article_0_0_0_0_0_101_2_2_1.xml.state","treeScaler.t",0.817025478948457,3915,34232,3871,33161,0,0
"128","article_0_0_0_0_0_101_2_2_1.xml.state","treeRootScaler.t",0.774559838079024,3703,35095,3640,33995,14716,14716
"129","article_0_0_0_0_0_101_2_2_1.xml.state","UniformOperator.t",NA,85192,300107,82179,291890,0,0
"130","article_0_0_0_0_0_101_2_2_1.xml.state","SubtreeSlide.t",0.305810654267761,1833,190611,1793,185138,88543,88543
"131","article_0_0_0_0_0_101_2_2_1.xml.state","narrow.t",NA,18235,173672,17342,169069,0,0
"132","article_0_0_0_0_0_101_2_2_1.xml.state","wide.t",NA,46,38578,33,37402,19372,19372
"133","article_0_0_0_0_0_101_2_2_1.xml.state","WilsonBalding.t",NA,68,38036,34,36938,2621,2621
"134","article_0_0_0_0_0_101_2_2_1.xml.state","BirthRateScaler.t",0.487820119466096,10362,27964,9697,27530,0,0
"135","article_0_0_0_0_0_101_2_2_1.xml.state","DeathRateScaler.t",0.16937489301263,12382,25970,11463,25779,741,741
"136","article_0_0_0_0_0_101_2_2_2.xml.state","treeScaler.t",0.811914574007967,3887,34704,3845,33626,0,0
"137","article_0_0_0_0_0_101_2_2_2.xml.state","treeRootScaler.t",0.764289105071184,3427,35056,3383,34025,14570,14570
"138","article_0_0_0_0_0_101_2_2_2.xml.state","UniformOperator.t",NA,84708,299294,81798,291298,0,0
