"","rng_seed","sirg","siri","scr","erg","eri","age","mutation_rate","n_alignments","sequence_length","nspp","n_beast_runs"
"article_0_1_1_3_0_273.RDa",273,0.3,0.3,0.3,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_1_1_3_0_274.RDa",274,0.3,0.3,0.3,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_1_1_3_0_275.RDa",275,0.3,0.3,0.3,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_1_1_3_0_276.RDa",276,0.3,0.3,0.3,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_1_1_3_0_277.RDa",277,0.3,0.3,0.3,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_1_1_3_0_278.RDa",278,0.3,0.3,0.3,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_1_1_3_0_279.RDa",279,0.3,0.3,0.3,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_1_1_3_1_280.RDa",280,0.3,0.3,0.3,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_1_1_3_1_281.RDa",281,0.3,0.3,0.3,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_1_1_3_1_282.RDa",282,0.3,0.3,0.3,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_1_1_3_1_283.RDa",283,0.3,0.3,0.3,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_1_1_3_1_284.RDa",284,0.3,0.3,0.3,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_1_1_3_1_285.RDa",285,0.3,0.3,0.3,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_1_1_3_1_286.RDa",286,0.3,0.3,0.3,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_1_1_3_1_287.RDa",287,0.3,0.3,0.3,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_1_1_3_1_288.RDa",288,0.3,0.3,0.3,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_1_1_3_1_289.RDa",289,0.3,0.3,0.3,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_1_1_3_1_290.RDa",290,0.3,0.3,0.3,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_1_1_3_1_291.RDa",291,0.3,0.3,0.3,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_1_1_3_1_292.RDa",292,0.3,0.3,0.3,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_1_1_3_1_293.RDa",293,0.3,0.3,0.3,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_1_1_3_1_294.RDa",294,0.3,0.3,0.3,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_1_1_3_1_295.RDa",295,0.3,0.3,0.3,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_1_1_3_1_296.RDa",296,0.3,0.3,0.3,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_1_1_3_1_297.RDa",297,0.3,0.3,0.3,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_1_1_3_1_298.RDa",298,0.3,0.3,0.3,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_1_1_3_1_299.RDa",299,0.3,0.3,0.3,0.1,0.1,15,0.5,2,10000,1000,2
"article_0_1_2_3_0_300.RDa",300,0.3,0.3,0.3,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_1_2_3_0_301.RDa",301,0.3,0.3,0.3,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_1_2_3_0_302.RDa",302,0.3,0.3,0.3,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_1_2_3_0_303.RDa",303,0.3,0.3,0.3,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_1_2_3_0_304.RDa",304,0.3,0.3,0.3,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_1_2_3_0_305.RDa",305,0.3,0.3,0.3,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_1_2_3_0_306.RDa",306,0.3,0.3,0.3,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_1_2_3_0_307.RDa",307,0.3,0.3,0.3,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_1_2_3_0_308.RDa",308,0.3,0.3,0.3,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_1_2_3_0_309.RDa",309,0.3,0.3,0.3,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_1_2_3_0_310.RDa",310,0.3,0.3,0.3,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_1_2_3_0_311.RDa",311,0.3,0.3,0.3,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_1_2_3_0_312.RDa",312,0.3,0.3,0.3,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_1_2_3_0_313.RDa",313,0.3,0.3,0.3,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_1_2_3_0_314.RDa",314,0.3,0.3,0.3,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_1_2_3_0_315.RDa",315,0.3,0.3,0.3,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_1_2_3_0_316.RDa",316,0.3,0.3,0.3,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_1_2_3_0_317.RDa",317,0.3,0.3,0.3,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_1_2_3_0_318.RDa",318,0.3,0.3,0.3,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_1_2_3_0_319.RDa",319,0.3,0.3,0.3,0.2,0.2,15,0.5,2,1000,1000,2
"article_0_1_2_3_1_320.RDa",320,0.3,0.3,0.3,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_1_2_3_1_321.RDa",321,0.3,0.3,0.3,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_1_2_3_1_322.RDa",322,0.3,0.3,0.3,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_1_2_3_1_323.RDa",323,0.3,0.3,0.3,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_1_2_3_1_324.RDa",324,0.3,0.3,0.3,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_1_2_3_1_325.RDa",325,0.3,0.3,0.3,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_1_2_3_1_326.RDa",326,0.3,0.3,0.3,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_1_2_3_1_327.RDa",327,0.3,0.3,0.3,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_1_2_3_1_328.RDa",328,0.3,0.3,0.3,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_1_2_3_1_329.RDa",329,0.3,0.3,0.3,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_1_2_3_1_330.RDa",330,0.3,0.3,0.3,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_1_2_3_1_331.RDa",331,0.3,0.3,0.3,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_1_2_3_1_332.RDa",332,0.3,0.3,0.3,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_1_2_3_1_333.RDa",333,0.3,0.3,0.3,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_1_2_3_1_334.RDa",334,0.3,0.3,0.3,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_1_2_3_1_335.RDa",335,0.3,0.3,0.3,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_1_2_3_1_336.RDa",336,0.3,0.3,0.3,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_1_2_3_1_337.RDa",337,0.3,0.3,0.3,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_1_2_3_1_338.RDa",338,0.3,0.3,0.3,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_1_2_3_1_339.RDa",339,0.3,0.3,0.3,0.2,0.2,15,0.5,2,10000,1000,2
"article_0_2_0_3_0_340.RDa",340,0.3,0.3,1,0,0,15,0.5,2,1000,1000,2
"article_0_2_0_3_0_341.RDa",341,0.3,0.3,1,0,0,15,0.5,2,1000,1000,2
"article_0_2_0_3_0_342.RDa",342,0.3,0.3,1,0,0,15,0.5,2,1000,1000,2
"article_0_2_0_3_0_343.RDa",343,0.3,0.3,1,0,0,15,0.5,2,1000,1000,2
"article_0_2_0_3_0_344.RDa",344,0.3,0.3,1,0,0,15,0.5,2,1000,1000,2
"article_0_2_0_3_0_345.RDa",345,0.3,0.3,1,0,0,15,0.5,2,1000,1000,2
"article_0_2_0_3_0_346.RDa",346,0.3,0.3,1,0,0,15,0.5,2,1000,1000,2
